obs,author,study,year,class,order,family,genus,species,variable,fitness.estimate,treatment,estimated.increase.in.harm (M:F),estimated.harm,Orthogonal treatment type,Orthogonal treatment,"fitness.estimate raw or derived, empty=raw",X_C,SE_C,sd_C,N_C,X_T,SE_T,sd_T,N_T,source,Control_MatingRate/ OSR,Treatment_MatingRate/ OSR,"Treatment type: MP=Mono/Poly, Exposure= no ratio manipulation only exposure/ access manipulated",Treatment period in days (hrs if mentioned)= convert all to days,Simultaneous/ Sequential exposure in treatment,"Diff. exposure time= treatment exposure - control exposure, days/ hrs if treatment type is exposure",Experimental evolution,Control_MaleNo= >1 indicates 1:1 OSR but more than one pair housed together,Treatment_MaleNo_,"Simultaneous male no. in treatment, empty = >1, 1 for sequential",C_SexRatio (M:F),T_SexRatio,Shared control- Y/N,NOTES ABOUT SPECIES,Dryad DOI,Notes on data extraction,Written to author,Received data,DOI
72,Chiba,15,2023,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus latirostris,no. of eggs,direct,sex ratio,5,5,-,,,266.2,,48.56248,15,186.3333,,112.1043,15,Dryad Data,>1,>1,MP,36,Simultaneous,,N,1,5,,1:01,5:01,Y,Polyandrous,,"Individual females were kept in cgaes with 1, 3, 5, 7 males.",,,
73,Chiba,15,2023,Malacostraca,Decapoda,Pandalidae,Pandalus,Pandalus latirostris,no. of eggs,direct,sex ratio,7,7,-,,,266.2,,48.56248,15,181.8,,123.1574,15,Dryad Data,>1,>1,MP,36,Simultaneous,,N,1,7,,1:01,7:01,Y,Polyandrous,,"Individual females were kept in cgaes with 1, 3, 5, 7 males.",,,
74,Croshaw & Gomez,16,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila arizonae,no. of eggs per day,direct,male access,once-mated females compared with females exposed to either dame or different males for 2 h / day for 12 days,,once-mated vs. monogamous,,,1.941176471,0.470588235,2.662049059,32,2.735294118,0.544117647,2.720588235,25,Fig. 1a,1,>1,MM,2 hours / day for 12 days,Sequential,,N,1,1,,-,-,Y,Polyandrous,,Once-mated females compared with females exposed to either same or different males for 2 h / day for 12 days. Effect size not extracted for fertility as it seems very low. ,,,
75,Croshaw & Gomez,16,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila arizonae,no. of offspring per day,direct,male access,once-mated females compared with females exposed to either dame or different males for 2 h / day for 12 days,,once-mated vs. monogamous,,,1.691176471,0.632352941,3.846452777,37,5.058823529,1.147058824,6.882352941,36,Fig. 1a,1,>1,MM,2 hours / day for 12 days,Sequential,,N,1,12,,-,-,Y,Polyandrous,,Once-mated females compared with females exposed to either dame or different males for 2 h / day for 12 days. Effect size not eaxtracted for fertility as measure seems very low. ,,,
76,Croshaw & Gomez,16,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila arizonae,no. of eggs per day,direct,male access,once-mated females compared with females exposed to either dame or different males for 2 h / day for 12 days,,once-mated vs. polygamous,,,1.941176471,0.470588235,2.662049059,32,5.558823529,0.911764706,5.157720051,32,Fig. 1b,1,>1,MP,2 hours / day for 12 days,Sequential,,N,1,1,,-,-,Y,Polyandrous,,Once-mated females compared with females exposed to either dame or different males for 2 h / day for 12 days. Effect size not eaxtracted for fertility as measure seems very low. ,,,
77,Croshaw & Gomez,16,2018,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila arizonae,no. of offspring per day,direct,male access,once-mated females compared with females exposed to either dame or different males for 2 h / day for 12 days,,once-mated vs. polygamous,,,1.691176471,0.632352941,3.846452777,37,5.558823529,1.058823529,6.440572091,37,Fig. 1b,1,>1,MP,2 hours / day for 12 days,Sequential,,N,1,12,,-,-,Y,Polyandrous,,Once-mated females compared with females exposed to either dame or different males for 2 h / day for 12 days. Effect size not eaxtracted for fertility as measure seems very low. ,,,
78,Di ,17,2023,Insecta,Lepidoptera,Noctuidae,Spodoptera,Spodoptera litura,no. of eggs,direct,mating rate,1 vs. 2 matings with same male,2,,,,1316.4,,1134.9064,20,1246.143,,884.725,14,FigShare Data,1,2,MM,,Sequential,,N,1,1,,-,-,Y,Polyandrous,,Once-mated females compared with females mated twice with same male (Repeated mating) and different males (Multiple Matings),,,
79,Di ,17,2023,Insecta,Lepidoptera,Noctuidae,Spodoptera,Spodoptera litura,no. of eggs,direct,mating rate,1 vs. 2 matings with 2 different males,2,,,,1316.4,,1134.9064,20,1316.4,,1134.9064,20,FigShare Data,1,2,MP,,Sequential,,N,1,1,,-,-,Y,Polyandrous,,,,,
80,Di ,17,2023,Insecta,Lepidoptera,Noctuidae,Spodoptera,Spodoptera litura,lifespan,indirect,mating rate,1 vs. 2 matings with same male,2,,,,7.926829,,2.935901,41,8.576923,,3.523329,26,FigShare Data,1,2,MM,,Sequential,,N,1,1,,-,-,Y,Polyandrous,,Once-mated females compared with females mated twice with same male (Repeated mating) and different males (Multiple Matings),,,
81,Di ,17,2023,Insecta,Lepidoptera,Noctuidae,Spodoptera,Spodoptera litura,lifespan,indirect,mating rate,1 vs. 2 matings with 2 different males,2,,,,7.926829,,2.935901,41,8.75,,2.731396,20,FigShare Data,1,2,MP,,Sequential,,N,1,1,,-,-,Y,Polyandrous,,Once-mated females compared with females mated twice with same male (Repeated mating) and different males (Multiple Matings),,,
82,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,lifespan,indirect,mating rate,1 vs. 3 matings,3,,,,38.82352941,1.470588235,4.650408324,10,25.58823529,0.882352941,2.790244994,10,Fig. 1,1,3,No. of matings,,Sequential,,N,,,,,,Y,,,,,,
83,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,lifespan,indirect,mating rate,1 vs. 5 matings,5,,,,38.82352941,1.470588235,4.650408324,10,18.82352941,1.029411765,3.255285827,10,Fig. 1,1,5,No. of matings,,Sequential,,N,,,,,,Y,,,,,,
84,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,no. of eggs,direct,mating rate,1 vs. 3 matings,3,,,,412.1307354,12.35072282,39.05641485,10,562.4135764,8.95663105,28.32335428,10,Fig. 1,1,3,No. of matings,,Sequential,,N,,,,,,Y,,,,,,
85,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,no. of eggs,direct,mating rate,1 vs. 5 matings,5,,,,412.1307354,12.35072282,39.05641485,10,721.3702074,24.32432432,76.92026741,10,Fig. 1,1,5,No. of matings,,Sequential,,N,,,,,,Y,,,,,,
86,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,viability,direct,mating rate,1 vs. 3 matings,3,,,derived,66.91,1.99,6.292932544,10,90.97,0.98,3.099032107,10,Fig. 1,1,3,No. of matings,,Sequential,,N,,,,,,Y,,,,,,
87,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,viability,direct,mating rate,1 vs. 5 matings,5,,,derived,66.91,1.99,6.292932544,10,94.46,0.44,1.39140217,10,Fig. 1,1,5,No. of matings,,Sequential,,N,,,,,,Y,,,,,,
88,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,lifespan,indirect,sex ratio,1:1 vs 2:1,2,,,,34.28571429,2.063492063,6.525334854,10,29.84126984,2.857142857,8.571428571,9,Fig. 2,>1,>1,MP,>20,Simultaneous,,N,1,2,,1:01,2:01,Y,,,Duration of the exp till death,,,
89,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,lifespan,indirect,sex ratio,1:1 vs 4:1,4,,,,34.28571429,2.063492063,6.525334854,10,22.06349206,1.587301587,4.199605256,7,Fig. 2,>1,>1,MP,>20,Simultaneous,,N,1,4,,1:01,4:01,Y,,,Duration of the exp till death,,,
90,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,no. of eggs,direct,sex ratio,1:1 vs 2:1,2,,,,512.5,46.875,148.2317653,10,381.25,40.625,121.875,9,Fig. 2,>1,>1,MP,>20,Simultaneous,,N,1,2,,1:01,2:01,Y,,,Duration of the exp till death,,,
91,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,no. of eggs,direct,sex ratio,1:1 vs 4:1,4,,,,512.5,46.875,148.2317653,10,231.25,40.625,107.483647,7,Fig. 2,>1,>1,MP,>20,Simultaneous,,N,1,4,,1:01,4:01,Y,,,Duration of the exp till death,,,
92,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,viability,direct,sex ratio,1:1 vs 2:1,2,,,derived,89.17,1.87,5.913459225,10,89.62,1.04,3.12,9,Fig. 2,>1,>1,MP,>20,Simultaneous,,N,1,2,,1:01,2:01,Y,,,Duration of the exp till death,,,
93,Fan,18,2015,Insecta,Coleoptera,Chrysomelidae,Galerucella,Galerucella birmanica,viability,direct,sex ratio,1:1 vs 4:1,4,,,derived,89.17,1.87,5.913459225,10,92.09,1.44,3.809881888,7,Fig. 2,>1,>1,MP,>20,Simultaneous,,N,1,4,,1:01,4:01,Y,,,Duration of the exp till death,,,
94,Fisher,19,2006,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus stuartii,Proportion of offspring surviving,direct,mating rate,3 matings w 1 male vs. 3 matings w 3 males,3,wild,,derived,0.140127913,0.059244526,0.244271438,17,0.427187463,0.06019787,0.262396434,19,Fig. 1,3,3,No. of mates,,Simultaneous,,N,3,3,,,,N,Polyandrous,,Survival of offspring from mono vs polyandrous females measured in wild and captivity,,,
95,Fisher,19,2006,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus stuartii,Proportion of offspring surviving,direct,mating rate,3 matings w 1 male vs. 3 matings w 3 males,3,captive,,derived,0.689850997,0.096301504,0.408572678,18,0.927912759,0.038881363,0.164959655,18,Fig. 1,3,3,No. of mates,,Simultaneous,,N,3,3,,,,N,Polyandrous,,Survival of offspring from mono vs polyandrous females measured in wild and captivity,,,
96,Fortin,20,2019,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare,No. of offspring (pulli),direct,sex ratio,1:1 vs. 4:1,4,,,,39.26380368,2.208588957,19.12694143,75,31.22699387,2.147239264,18.5956375,75,Fig. 3,>1,>1,OSR,365 days,Simultaneous,,N,15,60,,1:01,4:01,N,Polyandrous,,"Females kept in three treatments of sex ratio: female 20%, 50% and 80%. Data extracted for 20% and 50%",,,
97,Gay ,21,2009,Insecta,Coleoptera,Chrysomelidae,Callosobruchus,Callosobruchus maculatus,LRS,direct,male access,females exposed to 5males for 6 h vs. no males/ 5 females,5,,,derived,53,3.4,21.77062241,41,43,5.2,33.29624603,41,text,1,1,exposure,6 hrs,Simultaneous,6 hrs,N,,,,,,,,,"Females kept alone, with 5 females, or 5 males. First two types pooled as control since not different. LRS, no. of eggs,  hatching success, lifespan reported. Exact final sample sizes not reported only that they ""somewhat vary"", using the given 41.",,,
